Update `mapids` set startX='32256', endX='32767', startY='32768', endY='33279' Where mapid='0';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='135';
Update `mapids` set startX='32704', endX='32831', startY='32832', endY='32895' Where mapid='136';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='137';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='138';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='139';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='140';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='141';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='142';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='143';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='144';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='145';
Update `mapids` set startX='32576', endX='32831', startY='32768', endY='32959' Where mapid='146';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='147';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='148';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='149';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='150';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='151';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='152';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='153';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='154';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='155';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32831' Where mapid='156';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='157';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='158';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='159';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='160';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='161';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='162';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='163';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='164';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='165';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32831' Where mapid='166';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='167';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='168';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='169';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='170';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='171';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='172';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='173';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='174';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='175';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32831' Where mapid='176';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='177';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='178';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='179';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='180';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='181';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='182';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='183';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='184';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='185';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32831' Where mapid='186';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='187';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='188';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='189';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='190';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='191';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='192';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='193';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='194';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='195';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32831' Where mapid='196';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='197';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='198';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='199';
Update `mapids` set startX='32576', endX='32831', startY='32768', endY='33023' Where mapid='200';
Update `mapids` set startX='32640', endX='33535', startY='32704', endY='32959' Where mapid='201';
Update `mapids` set startX='32640', endX='33535', startY='32704', endY='32895' Where mapid='202';
Update `mapids` set startX='32640', endX='33535', startY='32704', endY='32895' Where mapid='203';
Update `mapids` set startX='32640', endX='33535', startY='32704', endY='32895' Where mapid='204';
Update `mapids` set startX='32640', endX='33535', startY='32704', endY='32895' Where mapid='205';
Update `mapids` set startX='32640', endX='33535', startY='32704', endY='32895' Where mapid='206';
Update `mapids` set startX='32640', endX='33535', startY='32704', endY='32895' Where mapid='207';
Update `mapids` set startX='32640', endX='33535', startY='32704', endY='32895' Where mapid='208';
Update `mapids` set startX='32704', endX='32767', startY='32768', endY='32831' Where mapid='209';
Update `mapids` set startX='32640', endX='33535', startY='32704', endY='32895' Where mapid='210';
Update `mapids` set startX='32640', endX='33535', startY='32704', endY='32895' Where mapid='211';
Update `mapids` set startX='32704', endX='32767', startY='32768', endY='32831' Where mapid='213';
Update `mapids` set startX='32640', endX='32767', startY='32768', endY='32831' Where mapid='217';
Update `mapids` set startX='32640', endX='32895', startY='32640', endY='32895' Where mapid='221';
Update `mapids` set startX='32704', endX='32767', startY='32768', endY='32831' Where mapid='237';
Update `mapids` set startX='32640', endX='32767', startY='33024', endY='33151' Where mapid='240';
Update `mapids` set startX='32704', endX='32831', startY='32832', endY='32959' Where mapid='241';
Update `mapids` set startX='32704', endX='32831', startY='32896', endY='33087' Where mapid='242';
Update `mapids` set startX='32640', endX='32767', startY='32832', endY='33023' Where mapid='243';
Update `mapids` set startX='32704', endX='33023', startY='32768', endY='33087' Where mapid='244';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32895' Where mapid='248';
Update `mapids` set startX='32704', endX='32831', startY='32832', endY='32895' Where mapid='249';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32895' Where mapid='250';
Update `mapids` set startX='32768', endX='32831', startY='32768', endY='32831' Where mapid='251';
Update `mapids` set startX='32576', endX='32767', startY='32832', endY='32895' Where mapid='252';
Update `mapids` set startX='32704', endX='32831', startY='32832', endY='33023' Where mapid='253';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='254';
Update `mapids` set startX='32640', endX='32831', startY='32768', endY='32895' Where mapid='255';
Update `mapids` set startX='32640', endX='32895', startY='32768', endY='33023' Where mapid='256';
Update `mapids` set startX='32640', endX='32831', startY='32768', endY='32895' Where mapid='257';
Update `mapids` set startX='32576', endX='32831', startY='32768', endY='33151' Where mapid='258';
Update `mapids` set startX='32704', endX='32767', startY='32768', endY='33023' Where mapid='259';
Update `mapids` set startX='32704', endX='32767', startY='32768', endY='32831' Where mapid='270';
Update `mapids` set startX='32832', endX='32959', startY='32448', endY='32639' Where mapid='300';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='33023' Where mapid='301';
Update `mapids` set startX='32704', endX='32767', startY='32832', endY='32895' Where mapid='302';
Update `mapids` set startX='32576', endX='32959', startY='32512', endY='32895' Where mapid='303';
Update `mapids` set startX='32576', endX='32959', startY='32768', endY='33023' Where mapid='304';
Update `mapids` set startX='32704', endX='32767', startY='32768', endY='32831' Where mapid='305';
Update `mapids` set startX='32512', endX='32767', startY='32768', endY='32959' Where mapid='306';
Update `mapids` set startX='32704', endX='32959', startY='32768', endY='32959' Where mapid='307';
Update `mapids` set startX='32704', endX='33023', startY='32768', endY='32959' Where mapid='308';
Update `mapids` set startX='32704', endX='33087', startY='32768', endY='32959' Where mapid='309';
Update `mapids` set startX='32640', endX='32895', startY='32768', endY='33023' Where mapid='310';
Update `mapids` set startX='32640', endX='33087', startY='32768', endY='33087' Where mapid='320';
Update `mapids` set startX='32640', endX='32831', startY='32768', endY='33023' Where mapid='330';
Update `mapids` set startX='32640', endX='32895', startY='32704', endY='32959' Where mapid='340';
Update `mapids` set startX='32640', endX='32767', startY='32768', endY='32895' Where mapid='350';
Update `mapids` set startX='32640', endX='32831', startY='32704', endY='32895' Where mapid='360';
Update `mapids` set startX='32640', endX='32831', startY='32704', endY='32895' Where mapid='370';
Update `mapids` set startX='32448', endX='33087', startY='32576', endY='33087' Where mapid='400';
Update `mapids` set startX='32704', endX='32895', startY='32768', endY='32895' Where mapid='401';
Update `mapids` set startX='32640', endX='32959', startY='32704', endY='33087' Where mapid='410';
Update `mapids` set startX='32640', endX='32831', startY='32832', endY='33151' Where mapid='420';
Update `mapids` set startX='32640', endX='33023', startY='32704', endY='33087' Where mapid='430';
Update `mapids` set startX='32256', endX='32767', startY='32768', endY='33279' Where mapid='440';
Update `mapids` set startX='32640', endX='32895', startY='32704', endY='32959' Where mapid='441';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='442';
Update `mapids` set startX='32640', endX='32895', startY='32640', endY='32959' Where mapid='443';
Update `mapids` set startX='32704', endX='32767', startY='32768', endY='32831' Where mapid='444';
Update `mapids` set startX='32704', endX='32831', startY='32832', endY='32895' Where mapid='445';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32831' Where mapid='446';
Update `mapids` set startX='32704', endX='32767', startY='32768', endY='32831' Where mapid='447';
Update `mapids` set startX='32576', endX='32831', startY='32768', endY='32959' Where mapid='450';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='451';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32895' Where mapid='452';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='453';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='454';
Update `mapids` set startX='32704', endX='32895', startY='32768', endY='32895' Where mapid='455';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32895' Where mapid='456';
Update `mapids` set startX='32640', endX='32767', startY='32768', endY='32895' Where mapid='457';
Update `mapids` set startX='32704', endX='32895', startY='32768', endY='32895' Where mapid='460';
Update `mapids` set startX='32640', endX='32895', startY='32768', endY='32895' Where mapid='461';
Update `mapids` set startX='32640', endX='32895', startY='32768', endY='32895' Where mapid='462';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32895' Where mapid='463';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32895' Where mapid='464';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32895' Where mapid='465';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32895' Where mapid='466';
Update `mapids` set startX='32640', endX='32767', startY='32768', endY='32895' Where mapid='467';
Update `mapids` set startX='32576', endX='32703', startY='32832', endY='32959' Where mapid='468';
Update `mapids` set startX='32640', endX='32895', startY='32768', endY='32895' Where mapid='470';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32895' Where mapid='471';
Update `mapids` set startX='32640', endX='32831', startY='32704', endY='32895' Where mapid='472';
Update `mapids` set startX='32704', endX='32959', startY='32768', endY='32895' Where mapid='473';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32895' Where mapid='474';
Update `mapids` set startX='32640', endX='32831', startY='32768', endY='32895' Where mapid='475';
Update `mapids` set startX='32704', endX='32831', startY='32704', endY='32895' Where mapid='476';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32959' Where mapid='477';
Update `mapids` set startX='32640', endX='32831', startY='32704', endY='32895' Where mapid='478';
Update `mapids` set startX='32576', endX='32895', startY='32768', endY='33023' Where mapid='480';
Update `mapids` set startX='32640', endX='32831', startY='32768', endY='32895' Where mapid='481';
Update `mapids` set startX='32576', endX='32831', startY='32704', endY='32895' Where mapid='482';
Update `mapids` set startX='32640', endX='32895', startY='32704', endY='32959' Where mapid='483';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='484';
Update `mapids` set startX='32640', endX='32767', startY='32768', endY='32895' Where mapid='490';
Update `mapids` set startX='32640', endX='32767', startY='32704', endY='32895' Where mapid='491';
Update `mapids` set startX='32704', endX='32895', startY='32768', endY='32895' Where mapid='492';
Update `mapids` set startX='32704', endX='32831', startY='32704', endY='32831' Where mapid='493';
Update `mapids` set startX='32768', endX='32895', startY='32704', endY='32831' Where mapid='494';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='495';
Update `mapids` set startX='32768', endX='32895', startY='32768', endY='32895' Where mapid='496';
Update `mapids` set startX='32640', endX='32831', startY='32704', endY='32895' Where mapid='500';
Update `mapids` set startX='32576', endX='33215', startY='32512', endY='32959' Where mapid='501';
Update `mapids` set startX='32576', endX='33215', startY='32576', endY='32959' Where mapid='502';
Update `mapids` set startX='32576', endX='33215', startY='32576', endY='32959' Where mapid='503';
Update `mapids` set startX='32576', endX='33215', startY='32576', endY='32959' Where mapid='504';
Update `mapids` set startX='32576', endX='33215', startY='32576', endY='32959' Where mapid='505';
Update `mapids` set startX='32512', endX='33215', startY='32576', endY='32959' Where mapid='506';
Update `mapids` set startX='32704', endX='33023', startY='32768', endY='32959' Where mapid='507';
Update `mapids` set startX='32768', endX='32895', startY='33088', endY='33215' Where mapid='508';
Update `mapids` set startX='32704', endX='32767', startY='32768', endY='32831' Where mapid='509';
Update `mapids` set startX='32576', endX='33215', startY='32576', endY='32895' Where mapid='511';
Update `mapids` set startX='32576', endX='33215', startY='32576', endY='32895' Where mapid='512';
Update `mapids` set startX='32576', endX='33215', startY='32576', endY='32895' Where mapid='513';
Update `mapids` set startX='32576', endX='33215', startY='32576', endY='32895' Where mapid='514';
Update `mapids` set startX='32576', endX='33215', startY='32576', endY='32895' Where mapid='515';
Update `mapids` set startX='32576', endX='33215', startY='32576', endY='32895' Where mapid='516';
Update `mapids` set startX='32640', endX='32831', startY='32704', endY='32895' Where mapid='518';
Update `mapids` set startX='32576', endX='32767', startY='32832', endY='33023' Where mapid='521';
Update `mapids` set startX='32576', endX='32831', startY='32832', endY='32959' Where mapid='522';
Update `mapids` set startX='32576', endX='32831', startY='32832', endY='32959' Where mapid='523';
Update `mapids` set startX='32576', endX='32831', startY='32832', endY='32959' Where mapid='524';
Update `mapids` set startX='32704', endX='32959', startY='32768', endY='32959' Where mapid='530';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32959' Where mapid='531';
Update `mapids` set startX='32704', endX='32895', startY='32768', endY='32895' Where mapid='532';
Update `mapids` set startX='32704', endX='32895', startY='32768', endY='33023' Where mapid='533';
Update `mapids` set startX='32704', endX='32959', startY='32768', endY='32895' Where mapid='534';
Update `mapids` set startX='32576', endX='32895', startY='32704', endY='33023' Where mapid='535';
Update `mapids` set startX='32640', endX='32831', startY='32704', endY='32895' Where mapid='536';
Update `mapids` set startX='32640', endX='32831', startY='32768', endY='32895' Where mapid='541';
Update `mapids` set startX='32640', endX='32831', startY='32768', endY='32895' Where mapid='542';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='543';
Update `mapids` set startX='32384', endX='32895', startY='32640', endY='33151' Where mapid='550';
Update `mapids` set startX='32640', endX='32767', startY='32768', endY='32895' Where mapid='551';
Update `mapids` set startX='32704', endX='32767', startY='32768', endY='32895' Where mapid='552';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32895' Where mapid='553';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32895' Where mapid='554';
Update `mapids` set startX='32704', endX='32767', startY='32768', endY='32895' Where mapid='555';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32895' Where mapid='556';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32895' Where mapid='557';
